Person ID,Name,First name,Last name,Party,Constituency,URI
25349,Margaret Greenwood,Margaret,Greenwood,Labour,Wirral West,https://www.theyworkforyou.com/mp/25349/margaret_greenwood/wirral_west
10243,Dominic Grieve,Dominic,Grieve,Conservative,Beaconsfield,https://www.theyworkforyou.com/mp/10243/dominic_grieve/beaconsfield
11692,Nia Griffith,Nia,Griffith,Labour,Llanelli,https://www.theyworkforyou.com/mp/11692/nia_griffith/llanelli
24826,Andrew Griffiths,Andrew,Griffiths,Conservative,Burton,https://www.theyworkforyou.com/mp/24826/andrew_griffiths/burton
10248,John Grogan,John,Grogan,Labour,Keighley,https://www.theyworkforyou.com/mp/10248/john_grogan/keighley
11531,Andrew Gwynne,Andrew,Gwynne,Labour,Denton and Reddish,https://www.theyworkforyou.com/mp/11531/andrew_gwynne/denton_and_reddish
24789,Sam Gyimah,Sam,Gyimah,Conservative,East Surrey,https://www.theyworkforyou.com/mp/24789/sam_gyimah/east_surrey
25357,Louise Haigh,Louise,Haigh,Labour,"Sheffield, Heeley",https://www.theyworkforyou.com/mp/25357/louise_haigh/sheffield%2C_heeley
25616,Kirstene Hair,Kirstene,Hair,Conservative,Angus,https://www.theyworkforyou.com/mp/25616/kirstene_hair/angus
24784,Robert Halfon,Robert,Halfon,Conservative,Harlow,https://www.theyworkforyou.com/mp/24784/robert_halfon/harlow
25373,Luke Hall,Luke,Hall,Conservative,Thornbury and Yate,https://www.theyworkforyou.com/mp/25373/luke_hall/thornbury_and_yate
10256,Fabian Hamilton,Fabian,Hamilton,Labour,Leeds North East,https://www.theyworkforyou.com/mp/10256/fabian_hamilton/leeds_north_east
10257,Philip Hammond,Philip,Hammond,Conservative,Runnymede and Weybridge,https://www.theyworkforyou.com/mp/10257/philip_hammond/runnymede_and_weybridge
11927,Stephen Hammond,Stephen,Hammond,Conservative,Wimbledon,https://www.theyworkforyou.com/mp/11927/stephen_hammond/wimbledon
24773,Matthew Hancock,Matthew,Hancock,Conservative,West Suffolk,https://www.theyworkforyou.com/mp/24773/matthew_hancock/west_suffolk
11610,Greg Hands,Greg,Hands,Conservative,Chelsea and Fulham,https://www.theyworkforyou.com/mp/11610/greg_hands/chelsea_and_fulham
10259,David Hanson,David,Hanson,Labour,Delyn,https://www.theyworkforyou.com/mp/10259/david_hanson/delyn
25646,Emma Hardy,Emma,Hardy,Labour,Kingston upon Hull West and Hessle,https://www.theyworkforyou.com/mp/25646/emma_hardy/kingston_upon_hull_west_and_hessle
10260,Harriet Harman,Harriet,Harman,Labour,Camberwell and Peckham,https://www.theyworkforyou.com/mp/10260/harriet_harman/camberwell_and_peckham
11588,Mark Harper,Mark,Harper,Conservative,Forest of Dean,https://www.theyworkforyou.com/mp/11588/mark_harper/forest_of_dean
24954,Richard Harrington,Richard,Harrington,Conservative,Watford,https://www.theyworkforyou.com/mp/24954/richard_harrington/watford
25308,Carolyn Harris,Carolyn,Harris,Labour,Swansea East,https://www.theyworkforyou.com/mp/25308/carolyn_harris/swansea_east
24731,Rebecca Harris,Rebecca,Harris,Conservative,Castle Point,https://www.theyworkforyou.com/mp/24731/rebecca_harris/castle_point
25600,Trudy Harrison,Trudy,Harrison,Conservative,Copeland,https://www.theyworkforyou.com/mp/25600/trudy_harrison/copeland
24813,Simon Hart,Simon,Hart,Conservative,Carmarthen West and South Pembrokeshire,https://www.theyworkforyou.com/mp/24813/simon_hart/carmarthen_west_and_south_pembrokeshire
25310,Helen Hayes,Helen,Hayes,Labour,Dulwich and West Norwood,https://www.theyworkforyou.com/mp/25310/helen_hayes/dulwich_and_west_norwood
10265,John Hayes,John,Hayes,Conservative,South Holland and The Deepings,https://www.theyworkforyou.com/mp/10265/john_hayes/south_holland_and_the_deepings
25358,Sue Hayman,Sue,Hayman,Labour,Workington,https://www.theyworkforyou.com/mp/25358/sue_hayman/workington
25154,Christopher Hazzard,Christopher,Hazzard,Sinn Féin,South Down,https://www.theyworkforyou.com/mp/25154/christopher_hazzard/south_down
10267,Oliver Heald,Oliver,Heald,Conservative,North East Hertfordshire,https://www.theyworkforyou.com/mp/10267/oliver_heald/north_east_hertfordshire
10268,John Healey,John,Healey,Labour,Wentworth and Dearne,https://www.theyworkforyou.com/mp/10268/john_healey/wentworth_and_dearne
25438,James Heappey,James,Heappey,Conservative,Wells,https://www.theyworkforyou.com/mp/25438/james_heappey/wells
24841,Chris Heaton-Harris,Chris,Heaton-Harris,Conservative,Daventry,https://www.theyworkforyou.com/mp/24841/chris_heaton-harris/daventry
25412,Peter Heaton-Jones,Peter,Heaton-Jones,Conservative,North Devon,https://www.theyworkforyou.com/mp/25412/peter_heaton-jones/north_devon
24828,Gordon Henderson,Gordon,Henderson,Conservative,Sittingbourne and Sheppey,https://www.theyworkforyou.com/mp/24828/gordon_henderson/sittingbourne_and_sheppey
10682,Mark Hendrick,Mark,Hendrick,Labour/Co-operative,Preston,https://www.theyworkforyou.com/mp/10682/mark_hendrick/preston
25382,Drew Hendry,Drew,Hendry,Scottish National Party,"Inverness, Nairn, Badenoch and Strathspey",https://www.theyworkforyou.com/mp/25382/drew_hendry/inverness%2C_nairn%2C_badenoch_and_strathspey
10274,Stephen Hepburn,Stephen,Hepburn,Labour,Jarrow,https://www.theyworkforyou.com/mp/10274/stephen_hepburn/jarrow
11377,Nick Herbert,Nick,Herbert,Conservative,Arundel and South Downs,https://www.theyworkforyou.com/mp/11377/nick_herbert/arundel_and_south_downs
10958,Sylvia Hermon,Sylvia,Hermon,Independent,North Down,https://www.theyworkforyou.com/mp/10958/sylvia_hermon/north_down
25619,Mike Hill,Mike,Hill,Labour,Hartlepool,https://www.theyworkforyou.com/mp/25619/mike_hill/hartlepool
11605,Meg Hillier,Meg,Hillier,Labour/Co-operative,Hackney South and Shoreditch,https://www.theyworkforyou.com/mp/11605/meg_hillier/hackney_south_and_shoreditch
24782,Damian Hinds,Damian,Hinds,Conservative,East Hampshire,https://www.theyworkforyou.com/mp/24782/damian_hinds/east_hampshire
25427,Simon Hoare,Simon,Hoare,Conservative,North Dorset,https://www.theyworkforyou.com/mp/25427/simon_hoare/north_dorset
25648,Wera Hobhouse,Wera,Hobhouse,Liberal Democrat,Bath,https://www.theyworkforyou.com/mp/25648/wera_hobhouse/bath
10281,Margaret Hodge,Margaret,Hodge,Labour,Barking,https://www.theyworkforyou.com/mp/10281/margaret_hodge/barking
11592,Sharon Hodgson,Sharon,Hodgson,Labour,Washington and Sunderland West,https://www.theyworkforyou.com/mp/11592/sharon_hodgson/washington_and_sunderland_west
10282,Kate Hoey,Kate,Hoey,Labour,Vauxhall,https://www.theyworkforyou.com/mp/10282/kate_hoey/vauxhall
25298,Kate Hollern,Kate,Hollern,Labour,Blackburn,https://www.theyworkforyou.com/mp/25298/kate_hollern/blackburn
24936,George Hollingbery,George,Hollingbery,Conservative,Meon Valley,https://www.theyworkforyou.com/mp/24936/george_hollingbery/meon_valley
25415,Kevin Hollinrake,Kevin,Hollinrake,Conservative,Thirsk and Malton,https://www.theyworkforyou.com/mp/25415/kevin_hollinrake/thirsk_and_malton
11661,Philip Hollobone,Philip,Hollobone,Conservative,Kettering,https://www.theyworkforyou.com/mp/11661/philip_hollobone/kettering
11599,Adam Holloway,Adam,Holloway,Conservative,Gravesham,https://www.theyworkforyou.com/mp/11599/adam_holloway/gravesham
10288,Kelvin Hopkins,Kelvin,Hopkins,Independent,Luton North,https://www.theyworkforyou.com/mp/10288/kelvin_hopkins/luton_north
11973,Stewart Hosie,Stewart,Hosie,Scottish National Party,Dundee East,https://www.theyworkforyou.com/mp/11973/stewart_hosie/dundee_east
10292,George Howarth,George,Howarth,Labour,Knowsley,https://www.theyworkforyou.com/mp/10292/george_howarth/knowsley
14131,John Howell,John,Howell,Conservative,Henley,https://www.theyworkforyou.com/mp/14131/john_howell/henley
10295,Lindsay Hoyle,Lindsay,Hoyle,Labour,Chorley,https://www.theyworkforyou.com/mp/10295/lindsay_hoyle/chorley
25381,Nigel Huddleston,Nigel,Huddleston,Conservative,Mid Worcestershire,https://www.theyworkforyou.com/mp/25381/nigel_huddleston/mid_worcestershire
25699,Eddie Hughes,Eddie,Hughes,Conservative,Walsall North,https://www.theyworkforyou.com/mp/25699/eddie_hughes/walsall_north
